Wavelength,Flux,BestFit,SkyFlux
3801.893,48.513,44.655,14.002
3802.770,54.516,42.890,14.113
3803.645,52.393,47.813,14.142
3804.522,45.273,42.612,14.186
3805.397,51.529,39.659,14.221
3806.273,44.530,44.183,14.349
3807.150,47.122,48.834,14.377
3808.026,44.041,45.978,14.378
3808.904,46.872,45.046,14.372
3809.780,45.936,42.456,14.356
3810.659,47.856,37.379,14.343
3811.536,50.079,38.805,14.312
3812.412,46.418,40.814,14.280
3813.292,48.846,32.359,14.195
3814.169,50.499,38.255,14.052
3815.048,55.586,43.525,13.956
3815.926,47.991,44.545,13.778
3816.806,47.077,46.260,13.562
3817.684,52.632,48.851,13.376
3818.562,51.358,47.848,13.098
3819.443,50.858,47.098,12.766
3820.322,50.902,45.320,12.417
3821.202,40.908,43.264,12.035
3822.082,43.967,43.325,11.735
3822.963,44.373,43.257,11.716
3823.842,45.189,39.611,11.831
3824.724,46.564,40.185,11.387
3825.604,46.361,45.433,10.076
3826.484,48.686,42.004,8.815
3827.366,49.070,37.953,8.855
3828.247,49.539,36.750,10.640
3829.130,52.222,33.367,13.273
3830.011,45.973,41.082,15.507
3830.894,47.380,45.801,16.582
3831.775,49.098,44.329,16.513
3832.657,52.722,42.561,15.471
3833.540,44.210,44.632,14.158
3834.422,47.026,46.027,13.193
3835.307,46.101,38.026,12.673
3836.189,43.192,42.098,12.474
3837.073,49.682,40.651,12.278
3837.956,45.501,36.837,11.969
3838.839,42.878,38.767,11.339
3839.724,47.847,43.110,10.745
3840.608,50.726,42.930,10.520
3841.493,53.371,45.992,11.153
3842.377,50.992,49.382,12.109
3843.263,49.549,41.276,12.970
3844.147,52.320,35.304,13.535
3845.032,54.255,50.138,13.913
3845.918,52.381,42.666,14.246
3846.803,51.385,40.737,14.542
3847.690,47.611,42.640,14.708
3848.575,51.688,41.923,14.873
3849.463,48.283,39.584,14.964
3850.348,46.265,41.428,14.755
3851.234,46.227,46.008,14.256
3852.122,50.163,46.382,13.571
3853.008,53.373,42.326,12.835
3853.897,51.275,38.019,11.956
3854.783,49.637,37.212,11.247
